timestamp_utc,period,tick,event_type,action,strike,rtm_spot,effective_vol_low,effective_vol_mid,effective_vol_high,stress_low,stress_high,robust_edge_dollars,edge_return,call_bid,call_ask,put_bid,put_ask,current_portfolio_delta,projected_portfolio_delta,message
2026-09-18T23:18:35.844154+00:00,1,173.0,NEWS,WAIT,,52.519999999999996,0.3461543508980774,0.3461543508980774,0.3461543508980774,0.31016251772510295,0.42119066324308474,,,,,,,0.0,,Risk free rate and current annualized volatility of RTM: 40.0%
2026-09-18T23:18:35.844537+00:00,1,173.0,NEWS,WAIT,,52.519999999999996,0.3461543508980774,0.3461543508980774,0.3461543508980774,0.31016251772510295,0.42119066324308474,,,,,,,0.0,,News 1: 18.0%-23.0%
2026-09-18T23:18:35.844672+00:00,1,173.0,NEWS,WAIT,,52.519999999999996,0.3461543508980774,0.3461543508980774,0.3461543508980774,0.31016251772510295,0.42119066324308474,,,,,,,0.0,,Announcement 1: 20.0%
2026-09-18T23:18:35.844768+00:00,1,173.0,NEWS,WAIT,,52.519999999999996,0.3461543508980774,0.3461543508980774,0.3461543508980774,0.31016251772510295,0.42119066324308474,,,,,,,0.0,,News 2: 44.0%-49.0%
2026-09-18T23:18:35.844853+00:00,1,173.0,NEWS,WAIT,,52.519999999999996,0.3461543508980774,0.3461543508980774,0.3461543508980774,0.31016251772510295,0.42119066324308474,,,,,,,0.0,,Announcement 2: 45.0%
2026-09-18T23:18:49.412972+00:00,1,187.0,NEWS,SHORT VOL,,51.53,0.3034098253582006,0.314289126231336,0.32607887639084904,0.3034098253582006,0.32607887639084904,,,,,,,0.0,,News 3: 19.0%-24.0%
2026-09-18T23:18:49.414054+00:00,1,187.0,ENTRY_ALERT,SHORT VOL,52.0,51.53,0.3034098253582006,0.314289126231336,0.32607887639084904,0.3034098253582006,0.32607887639084904,52.044530655148804,0.1706378054267174,1.29,1.31,1.76,1.78,0.0,32.26833177652447,candidate passes completed-trade edge and return thresholds
2026-09-18T23:19:15.608986+00:00,1,213.0,ENTRY_ALERT,SHORT VOL,51.0,51.760000000000005,0.24300560515743466,0.2603462548487938,0.2785430072655778,0.24300560515743466,0.2785430072655778,98.0435896742702,0.3290053344774167,1.87,1.89,1.11,1.13,0.0,-90.08871241802616,candidate passes completed-trade edge and return thresholds
2026-09-18T23:19:18.630125+00:00,1,216.0,ENTRY_ALERT,SHORT VOL,50.0,50.239999999999995,0.23222526010012656,0.2509357487485591,0.27041634565979916,0.23222526010012656,0.27041634565979916,90.27757444018785,0.33685662104547703,1.46,1.48,1.22,1.24,0.0,-34.371355470729334,candidate passes completed-trade edge and return thresholds
2026-09-18T23:19:21.652469+00:00,1,219.0,ENTRY_ALERT,SHORT VOL,51.0,50.510000000000005,0.2200589146704262,0.2404182312677762,0.2614064523559687,0.2200589146704262,0.2614064523559687,97.63102311866612,0.35762279530646923,1.12,1.14,1.61,1.63,0.0,59.148858796672755,candidate passes completed-trade edge and return thresholds
2026-09-18T23:19:22.662382+00:00,1,220.0,ENTRY_ALERT,SHORT VOL,50.0,50.32,0.21563858652847825,0.23662668382919114,0.2581787171708776,0.21563858652847825,0.2581787171708776,96.22632368176254,0.36449365030970665,1.48,1.5,1.16,1.18,0.0,-47.202564059684235,candidate passes completed-trade edge and return thresholds
2026-09-18T23:19:24.680706+00:00,1,222.0,ENTRY_ALERT,SHORT VOL,49.0,49.15,0.206155281280883,0.22855103789542702,0.25134254897067654,0.206155281280883,0.25134254897067654,104.28958124781263,0.3995769396467917,1.38,1.4,1.23,1.25,0.0,-25.724323698633686,candidate passes completed-trade edge and return thresholds
2026-09-18T23:19:26.692890+00:00,1,224.0,ENTRY_ALERT,SHORT VOL,48.0,48.42,0.1956769625791716,0.2197299478905868,0.24393970350758487,0.1956769625791716,0.24393970350758487,102.65245365956368,0.4025586418022105,1.49,1.51,1.06,1.08,0.0,-68.18931436653563,candidate passes completed-trade edge and return thresholds
2026-09-18T23:19:27.698774+00:00,1,225.0,NEWS,SHORT VOL,,48.519999999999996,0.2,0.2,0.2,0.2,0.2,,,,,,,0.0,,Announcement 3: 20.0%
2026-09-18T23:19:27.699214+00:00,1,225.0,ENTRY_ALERT,SHORT VOL,49.0,48.519999999999996,0.2,0.2,0.2,0.2,0.2,123.188361739475,0.4849935501554134,1.03,1.05,1.51,1.53,0.0,76.8042875506205,candidate passes completed-trade edge and return thresholds
2026-09-18T23:19:29.710690+00:00,1,227.0,ENTRY_ALERT,SHORT VOL,50.0,48.57,0.2,0.2,0.2,0.2,0.2,31.722592669837454,0.15034404108927704,0.34,0.36,1.77,1.79,0.0,205.47504336109048,candidate passes completed-trade edge and return thresholds
2026-09-18T23:19:30.717495+00:00,1,228.0,ENTRY_ALERT,SHORT VOL,48.0,48.7,0.2,0.2,0.2,0.2,0.2,40.300350373578205,0.2289792634862398,1.23,1.25,0.53,0.55,0.0,-120.33716739358483,candidate passes completed-trade edge and return thresholds
2026-09-18T23:52:56.460473+00:00,1,5.0,NEWS,WAIT,,49.8,0.23908370280960714,0.23908370280960714,0.23908370280960714,0.16325606381657423,0.36266434030493483,,,,,,,0.0,,Risk free rate and current annualized volatility of RTM: 20.0%
